Bennett, Dominic J., Sutton, Mark D., and Turvey, Samuel T. 2018. Quantifying the living fossil concept. Palaeontologia Electronica 21.1.15A 1-25. https://doi.org/10.26879/750
palaeo-electronica.org/content/2018/2194-quantifying-the-living-fossil
Appendix 6. Information and statistics for all clades for which pEPI, EPI and ED scores were calculated. Clades are ordered by pEPI. Common names are not available for all clades, these are automatically taken from NCBI. If you are looking for a specific clade, you may not find it because we only calculate values for clades that split. For example, lungfishes are represented by the clade ""Ceratodontimorpha"" even though they are more commonly known as ""Dipnoi"". This is because, according to NCBI taxonomy, the Dipnoi group only has a single child, Ceratodonitmorpha, which from the perspective of evolutionary performance make them the same clade. To find a clade, first search for it at the NCBI taxonomy website (www.ncbi.nlm.nih.gov/taxonomy) to ensure it is splitting. Additionally, many clades were ommitted if their ""Success"" was greater than 0.01 and/or their parent had fewer than 500 descendent species.
Common name (if available),Scientific name,NCBI ID,Group,N. spp,Time,Success,Change,pEPI, % (pEPI),ED,EPI

,Limnognathia maerski,195507,Metazoans,1,662,5.77E-05,-,-16.25569073,0%-1%,-,-
,Trichoplax,10227,Metazoans,23,951.8,8.74E-05,-,-16.20289549,0%-1%,-,-
Mesozoans,Mesozoa,10213,Metazoans,29,951.8,0.000110252,-,-15.97109388,0%-1%,-,-
kauri moth,Agathiphaga queenslandensis,41190,Arthropods,1,224,2.64E-05,-,-15.95313799,0%-1%,-,-
southern beech moth,Heterobathmia pseuderiocrania,41195,Arthropods,1,224,2.64E-05,-,-15.95313799,0%-1%,-,-
,Andesiana lamellata,753268,Arthropods,1,194,2.70E-05,-,-15.78693667,0%-1%,-,-
,Latimeria,7896,Vertebrates,2,413,7.06E-05,-,-15.58261217,0%-1%,-,-
,Gnathostomulida,66780,Metazoans,27,745.6,0.000136328,-,-15.5146373,0%-1%,-,-
ctenophores,Ctenophora,10197,Metazoans,56,824,0.000217964,-,-15.14535055,0%-1%,-,-
,Neopseustidae,128171,Arthropods,2,194,5.29E-05,-,-15.11543652,0%-1%,-,-
lancelets,Branchiostomidae,7736,Metazoans,12,684,0.000237633,-,-14.87274028,0%-1%,-,-
dwarf pencilfish,Lepidogalaxias salamandroides,89578,Actinopterians,1,209.4,8.32E-05,-,-14.7384071,0%-1%,-,-
,Prionodiaptomus,535796,Arthropods,2,507.35,0.000218436,-,-14.6582186,0%-1%,-,-
,Neopilinidae,358447,Metazoans,4,572.9,0.000304507,-,-14.44752865,0%-1%,-,-
,Amphionides reynaudii,1727191,Arthropods,1,340,0.000184162,-,-14.42864003,0%-1%,-,-
,Ceratophyllum,4427,Embryophytes,7,139,7.91E-05,-,-14.37916341,0%-1%,-,-
,Symbion,69816,Metazoans,7,662,0.000403831,-,-14.30978058,0%-1%,-,-
,Hutchinsoniellidae,84333,Arthropods,3,502.4,0.000327654,-,-14.24294901,0%-1%,-,-
,Scalidophora,1215728,Metazoans,95,780,0.000567256,-,-14.13399445,0%-1%,-,-
horsehair worms,Nematomorpha,33310,Metazoans,100,780,0.000597111,-,-14.08270116,0%-1%,-,-
,Diplura,1652078,Arthropods,48,442.9,0.000347854,-,-14.05707225,0%-1%,-,-
,Protura,1652079,Arthropods,50,439.3,0.000362348,-,-14.0080888,0%-1%,-,-
,Ceratodontimorpha,118077,Vertebrates,12,413,0.00042349,-,-13.7904293,0%-1%,-,-
,Urania leilia,328863,Arthropods,1,119.35,0.00012444,-,-13.77374708,0%-1%,-,-
,Berberidopsidales,403664,Embryophytes,5,113.7,0.000119383,-,-13.76673691,0%-1%,-,-
,Zygentoma,30264,Arthropods,68,424,0.000493376,-,-13.66397305,0%-1%,-,-
,Limulidae,6846,Arthropods,8,510,0.000608828,-,-13.63838548,0%-1%,-,-
,Sphenodon,8507,Lepidosaurians,2,251.8,0.000305951,-,-13.62072156,0%-1%,-,-
hemichordates,Hemichordata,10219,Metazoans,45,685.3,0.00088393,-,-13.56098921,0%-1%,-,-
,Paratrechalea galianoae,546908,Arthropods,1,169.3,0.000219925,-,-13.55389524,0%-1%,-,-
,Holostei,1489100,Actinopterians,9,314.7,0.000431717,-,-13.49936056,0%-1%,-,-
,Andreaeobryum macrosporum,108610,Embryophytes,1,220,0.000310945,-,-13.46952118,0%-1%,-,-
,Sierolomorpha canadensis,509846,Arthropods,1,158.3,0.000227169,-,-13.45430623,0%-1%,-,-
,Xiphydriidae,36760,Arthropods,10,261.6,0.000380113,-,-13.44185988,0%-1%,-,-
parasitic wood wasps,Orussidae,27528,Arthropods,9,235,0.000342101,-,-13.43998929,0%-1%,-,-
,Oedipodium griffithianum,127538,Embryophytes,1,214.1,0.000324359,-,-13.40010162,0%-1%,-,-
,Xenacoelomorpha,1312402,Metazoans,209,684,0.001055278,-,-13.38190857,0%-1%,-,-
,Spelaeogriphus lepidops,314071,Arthropods,1,340,0.000524934,-,-13.38118291,0%-1%,-,-
velvet worms,Onychophora,27563,Metazoans,166,638.2,0.000994608,-,-13.37181404,0%-1%,-,-
,Archostemata,50547,Arthropods,8,253,0.000394691,-,-13.37079585,0%-1%,-,-
